customer_id,current_ltv,ltv_month_3,ltv_month_6,ltv_month_12,value_at_risk,decay_rate_pct,decay_pattern,urgency,intervention_month,turning_point
0,358.20000000000005,128.16,0.0,0.0,358.2,64.2,🔴 CRITICAL DECAY,Critical,1,1
1,683.4000000000001,655.24,627.09,570.78,112.62,4.1,🟢 STABLE,Low,11,12
2,646.2,335.51,24.81,0.0,646.2,48.1,🟠 RAPID DECLINE,High,1,1
3,507.59999999999997,502.02,496.43,485.27,22.33,1.1,🟢 STABLE,Low,11,12
4,848.4000000000001,133.88,0.0,0.0,848.4,84.2,🔴 CRITICAL DECAY,Critical,1,1
5,1195.8000000000002,75.57,0.0,0.0,1195.8,93.7,🔴 CRITICAL DECAY,Critical,1,1
6,1069.1999999999998,763.41,457.62,0.0,1069.2,28.6,🟡 DECLINING,Medium,5,6
7,357.0,296.45,235.91,114.81,242.19,17.0,🟡 DECLINING,Medium,8,9
8,1257.6,286.23,0.0,0.0,1257.6,77.2,🔴 CRITICAL DECAY,Critical,1,1
9,673.8,667.26,660.73,647.66,26.14,1.0,🟢 STABLE,Low,11,12
10,599.4000000000001,551.15,502.9,406.39,193.01,8.0,🟢 STABLE,Low,11,12
11,227.39999999999998,226.56,225.72,224.03,3.37,0.4,🟢 STABLE,Low,11,12
12,1204.1999999999998,867.39,530.57,0.0,1204.2,28.0,🟡 DECLINING,Medium,5,6
13,1244.4,497.88,0.0,0.0,1244.4,60.0,🟠 RAPID DECLINE,High,1,1
14,1266.0,416.39,0.0,0.0,1266.0,67.1,🔴 CRITICAL DECAY,Critical,1,1
15,1359.0,1351.66,1344.32,1329.65,29.35,0.5,🟢 STABLE,Low,11,12
16,247.79999999999998,240.71,233.63,219.45,28.35,2.9,🟢 STABLE,Low,11,12
17,1280.4,1263.5,1246.6,1212.79,67.61,1.3,🟢 STABLE,Low,11,12
18,662.4000000000001,538.53,414.66,166.92,495.48,18.7,🟡 DECLINING,Medium,8,9
19,1080.6,377.24,0.0,0.0,1080.6,65.1,🔴 CRITICAL DECAY,Critical,1,2
20,475.79999999999995,45.25,0.0,0.0,475.8,90.5,🔴 CRITICAL DECAY,Critical,1,1
21,237.60000000000002,228.0,218.4,199.2,38.4,4.0,🟢 STABLE,Low,11,12
22,241.79999999999998,143.07,44.35,0.0,241.8,40.8,🟠 RAPID DECLINE,High,1,1
23,718.8,711.47,704.14,689.47,29.33,1.0,🟢 STABLE,Low,11,12
24,715.2,652.33,589.47,463.74,251.46,8.8,🟢 STABLE,Low,11,12
25,663.5999999999999,602.81,542.03,420.46,243.14,9.2,🟢 STABLE,Low,11,12
26,1192.1999999999998,532.91,0.0,0.0,1192.2,55.3,🟠 RAPID DECLINE,High,1,1
27,362.4,205.59,48.78,0.0,362.4,43.3,🟠 RAPID DECLINE,High,1,1
28,1083.0,1080.94,1078.88,1074.77,8.23,0.2,🟢 STABLE,Low,11,12
29,776.4000000000001,701.32,626.24,476.09,300.31,9.7,🟢 STABLE,Low,11,12
30,1156.1999999999998,1146.83,1137.47,1118.74,37.46,0.8,🟢 STABLE,Low,11,12
31,1146.0,531.4,0.0,0.0,1146.0,53.6,🟠 RAPID DECLINE,High,1,1
32,793.8000000000001,747.68,701.56,609.32,184.48,5.8,🟢 STABLE,Low,11,12
33,242.39999999999998,184.32,126.24,10.08,232.32,24.0,🟡 DECLINING,Medium,6,7
34,543.0,287.68,32.36,0.0,543.0,47.0,🟠 RAPID DECLINE,High,1,2
35,1198.8000000000002,1195.8,1192.81,1186.81,11.99,0.3,🟢 STABLE,Low,11,12
36,836.4000000000001,164.02,0.0,0.0,836.4,80.4,🔴 CRITICAL DECAY,Critical,1,1
37,897.5999999999999,690.07,482.55,67.5,830.1,23.1,🟡 DECLINING,Medium,6,7
38,1276.1999999999998,313.56,0.0,0.0,1276.2,75.4,🔴 CRITICAL DECAY,Critical,1,1
39,1174.1999999999998,100.04,0.0,0.0,1174.2,91.5,🔴 CRITICAL DECAY,Critical,1,1
40,594.5999999999999,546.38,498.16,401.71,192.89,8.1,🟢 STABLE,Low,11,12
41,830.4000000000001,826.58,822.76,815.12,15.28,0.5,🟢 STABLE,Low,11,12
42,249.0,234.38,219.77,190.53,58.47,5.9,🟢 STABLE,Low,11,12
43,958.1999999999999,951.97,945.74,933.29,24.91,0.7,🟢 STABLE,Low,11,12
44,914.4000000000001,635.51,356.62,0.0,914.4,30.5,🟡 DECLINING,Medium,4,5
45,1014.0,445.15,0.0,0.0,1014.0,56.1,🟠 RAPID DECLINE,High,1,1
46,591.0,300.17,9.34,0.0,591.0,49.2,🟠 RAPID DECLINE,High,1,2
47,967.8000000000001,162.69,0.0,0.0,967.8,83.2,🔴 CRITICAL DECAY,Critical,1,1
48,957.0,943.98,930.97,904.94,52.06,1.4,🟢 STABLE,Low,11,12
49,769.8000000000001,763.1,756.41,743.01,26.79,0.9,🟢 STABLE,Low,11,12
50,1083.0,504.79,0.0,0.0,1083.0,53.4,🟠 RAPID DECLINE,High,2,3
51,1189.1999999999998,256.63,0.0,0.0,1189.2,78.4,🔴 CRITICAL DECAY,Critical,1,1
52,834.0,735.59,637.18,440.35,393.65,11.8,🟢 STABLE,Low,11,12
53,967.8000000000001,103.94,0.0,0.0,967.8,89.3,🔴 CRITICAL DECAY,Critical,1,1
54,898.1999999999999,871.97,845.75,793.29,104.91,2.9,🟢 STABLE,Low,11,12
55,1145.4,207.78,0.0,0.0,1145.4,81.9,🔴 CRITICAL DECAY,Critical,1,1
56,1195.8000000000002,943.13,690.45,185.11,1010.69,21.1,🟡 DECLINING,Medium,7,8
57,1301.4,1181.8,1062.2,823.01,478.39,9.2,🟢 STABLE,Low,11,12
58,299.4,294.79,290.18,280.96,18.44,1.5,🟢 STABLE,Low,11,12
59,1290.0,1230.79,1171.58,1053.16,236.84,4.6,🟢 STABLE,Low,11,12
60,1206.0,417.76,0.0,0.0,1206.0,65.4,🔴 CRITICAL DECAY,Critical,1,1
61,1078.8000000000002,859.05,639.3,199.79,879.01,20.4,🟡 DECLINING,Medium,7,8
62,505.20000000000005,500.75,496.31,487.42,17.78,0.9,🟢 STABLE,Low,11,12
63,652.8,568.78,484.77,316.74,336.06,12.9,🟢 STABLE,Low,11,12
64,1132.8000000000002,143.87,0.0,0.0,1132.8,87.3,🔴 CRITICAL DECAY,Critical,1,1
65,903.5999999999999,645.62,387.64,0.0,903.6,28.6,🟡 DECLINING,Medium,5,6
66,946.8000000000001,787.36,627.92,309.04,637.76,16.8,🟡 DECLINING,Medium,8,9
67,950.4000000000001,928.64,906.87,863.34,87.06,2.3,🟢 STABLE,Low,11,12
68,241.79999999999998,239.79,237.79,233.77,8.03,0.8,🟢 STABLE,Low,11,12
69,958.1999999999999,645.64,333.07,0.0,958.2,32.6,🟡 DECLINING,Medium,4,5
70,588.5999999999999,277.47,0.0,0.0,588.6,52.9,🟠 RAPID DECLINE,High,2,3
71,244.79999999999998,235.08,225.36,205.93,38.87,4.0,🟢 STABLE,Low,11,12
72,1339.1999999999998,1300.76,1262.33,1185.46,153.74,2.9,🟢 STABLE,Low,11,12
73,291.0,289.28,287.57,284.13,6.87,0.6,🟢 STABLE,Low,11,12
74,774.0,702.33,630.66,487.31,286.69,9.3,🟢 STABLE,Low,11,12
75,1326.0,1190.35,1054.7,783.4,542.6,10.2,🟢 STABLE,Low,11,12
76,667.8,608.17,548.53,429.26,238.54,8.9,🟢 STABLE,Low,11,12
